week_start,week_end,driver_id,vendor_treatment,culture_feedback,appreciation_rating,appreciation_reason
2025-06-01,2025-06-07,D001,"Great interactions with vendors, felt appreciated.","Company culture was positive, leadership communicated clearly.",9,
2025-06-01,2025-06-07,D002,Excellent vendor interactions this week.,"DBJ culture was supportive, I saw teamwork and kindness.",10,
2025-06-01,2025-06-07,D003,"Vendors were respectful and helpful, they treated me well.",Good examples of DBJ values in action.,8,
2025-06-01,2025-06-07,D004,"Great interactions with vendors, felt appreciated.","DBJ culture was supportive, I saw teamwork and kindness.",8,
2025-06-08,2025-06-14,D001,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,10,
2025-06-08,2025-06-14,D002,Vendors were polite and efficient in loading and unloading.,Good examples of DBJ values in action.,9,
2025-06-08,2025-06-14,D003,Vendors were polite and efficient in loading and unloading.,Good examples of DBJ values in action.,9,
2025-06-08,2025-06-14,D004,"Great interactions with vendors, felt appreciated.",Good examples of DBJ values in action.,9,
2025-06-15,2025-06-21,D001,Excellent vendor interactions this week.,"DBJ culture was supportive, I saw teamwork and kindness.",8,
2025-06-15,2025-06-21,D002,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,9,
2025-06-15,2025-06-21,D003,"Vendors were respectful and helpful, they treated me well.",Good examples of DBJ values in action.,8,
2025-06-15,2025-06-21,D004,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,10,
2025-06-22,2025-06-28,D001,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,9,
2025-06-22,2025-06-28,D002,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",8,
2025-06-22,2025-06-28,D003,"Great interactions with vendors, felt appreciated.","DBJ culture was supportive, I saw teamwork and kindness.",10,
2025-06-22,2025-06-28,D004,Excellent vendor interactions this week.,Loved the family-like environment at DBJ this week.,10,
2025-06-29,2025-07-05,D001,"Great interactions with vendors, felt appreciated.","DBJ culture was supportive, I saw teamwork and kindness.",10,
2025-06-29,2025-07-05,D002,Excellent vendor interactions this week.,Loved the family-like environment at DBJ this week.,9,
2025-06-29,2025-07-05,D003,Excellent vendor interactions this week.,Good examples of DBJ values in action.,9,
2025-06-29,2025-07-05,D004,"Vendors were respectful and helpful, they treated me well.","Company culture was positive, leadership communicated clearly.",9,
2025-07-06,2025-07-12,D001,"Great interactions with vendors, felt appreciated.",Good examples of DBJ values in action.,10,
2025-07-06,2025-07-12,D002,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,8,
