week_start,week_end,driver_id,vendor_treatment,culture_feedback,appreciation_rating,appreciation_reason
2025-06-01,2025-06-07,D001,Vendors were hostile and delayed loading.,"DBJ culture was toxic, saw lots of gossip and hostility.",2,No recognition for hard work.
2025-06-01,2025-06-07,D002,"Felt disrespected by vendors, they were uncooperative.",Leadership showed favoritism and poor communication.,1,No recognition for hard work.
2025-06-01,2025-06-07,D003,"Vendors were rude and dismissive, long wait times.","No support from colleagues, negative environment.",1,Felt undervalued.
2025-06-01,2025-06-07,D004,"Poor treatment from vendors, no help provided.","DBJ culture was toxic, saw lots of gossip and hostility.",1,Not appreciated at all.
2025-06-08,2025-06-14,D001,"Vendors were rude and dismissive, long wait times.","DBJ culture was toxic, saw lots of gossip and hostility.",1,Felt undervalued.
2025-06-08,2025-06-14,D002,Vendors were hostile and delayed loading.,DBJ values were ignored this week.,1,Poor communication and support.
2025-06-08,2025-06-14,D003,Vendors were hostile and delayed loading.,Leadership showed favoritism and poor communication.,2,Not appreciated at all.
2025-06-08,2025-06-14,D004,"Poor treatment from vendors, no help provided.",DBJ values were ignored this week.,1,Poor communication and support.
2025-06-15,2025-06-21,D001,"Felt disrespected by vendors, they were uncooperative.",DBJ values were ignored this week.,1,Not appreciated at all.
2025-06-15,2025-06-21,D002,"Poor treatment from vendors, no help provided.","DBJ culture was toxic, saw lots of gossip and hostility.",1,Felt undervalued.
2025-06-15,2025-06-21,D003,"Felt disrespected by vendors, they were uncooperative.",Leadership showed favoritism and poor communication.,3,No recognition for hard work.
2025-06-15,2025-06-21,D004,"Poor treatment from vendors, no help provided.",DBJ values were ignored this week.,3,No recognition for hard work.
2025-06-22,2025-06-28,D001,"Vendors were rude and dismissive, long wait times.",DBJ values were ignored this week.,2,Felt undervalued.
2025-06-22,2025-06-28,D002,"Poor treatment from vendors, no help provided.",Leadership showed favoritism and poor communication.,1,Not appreciated at all.
2025-06-22,2025-06-28,D003,"Vendors were rude and dismissive, long wait times.","DBJ culture was toxic, saw lots of gossip and hostility.",4,No recognition for hard work.
2025-06-22,2025-06-28,D004,"Vendors were rude and dismissive, long wait times.","DBJ culture was toxic, saw lots of gossip and hostility.",1,Poor communication and support.
2025-06-29,2025-07-05,D001,"Felt disrespected by vendors, they were uncooperative.",DBJ values were ignored this week.,3,Poor communication and support.
2025-06-29,2025-07-05,D002,Vendors were hostile and delayed loading.,"DBJ culture was toxic, saw lots of gossip and hostility.",1,No recognition for hard work.
2025-06-29,2025-07-05,D003,"Vendors were rude and dismissive, long wait times.","No support from colleagues, negative environment.",3,Poor communication and support.
2025-06-29,2025-07-05,D004,Vendors were hostile and delayed loading.,"DBJ culture was toxic, saw lots of gossip and hostility.",1,Not appreciated at all.
2025-07-06,2025-07-12,D001,"Vendors were rude and dismissive, long wait times.",Leadership showed favoritism and poor communication.,2,Poor communication and support.
2025-07-06,2025-07-12,D002,"Poor treatment from vendors, no help provided.",DBJ values were ignored this week.,3,Not appreciated at all.
2025-07-06,2025-07-12,D003,"Poor treatment from vendors, no help provided.","No support from colleagues, negative environment.",2,Not appreciated at all.
