date,driver_id,hours_sleep,sleep_quality,start_mood,end_mood
2025-06-01,D001,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-06-01,D002,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Content
2025-06-01,D003,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Energetic
2025-06-01,D004,8.8,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Happy
2025-06-02,D001,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Happy
2025-06-02,D002,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Content
2025-06-02,D003,8.8,"Had a deep sleep, woke up with a smile.",Motivated,Happy
2025-06-02,D004,8.4,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Motivated
2025-06-03,D001,7.8,"Peaceful sleep, felt refreshed in the morning.",Content,Content
2025-06-03,D002,8.3,"Peaceful sleep, felt refreshed in the morning.",Happy,Happy
2025-06-03,D003,7.8,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-06-03,D004,7.8,"Peaceful sleep, felt refreshed in the morning.",Motivated,Happy
2025-06-04,D001,8.1,"Had a deep sleep, woke up with a smile.",Happy,Energetic
2025-06-04,D002,7.0,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Motivated
2025-06-04,D003,7.1,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Happy
2025-06-04,D004,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Happy
2025-06-05,D001,7.5,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Energetic
2025-06-05,D002,8.2,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-06-05,D003,7.5,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Motivated
2025-06-05,D004,7.3,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Happy
2025-06-06,D001,8.7,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Content
2025-06-06,D002,7.9,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-06-06,D003,8.0,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Happy
2025-06-06,D004,7.3,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Motivated
2025-06-07,D001,7.7,"Had a deep sleep, woke up with a smile.",Motivated,Happy
2025-06-07,D002,8.1,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-06-07,D003,7.4,"Had a deep sleep, woke up with a smile.",Energetic,Energetic
2025-06-07,D004,8.2,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-06-08,D001,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Energetic
2025-06-08,D002,7.9,"Had a deep sleep, woke up with a smile.",Motivated,Content
2025-06-08,D003,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Happy
2025-06-08,D004,8.9,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Content
2025-06-09,D001,8.0,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Happy
2025-06-09,D002,7.5,"Had a deep sleep, woke up with a smile.",Energetic,Energetic
2025-06-09,D003,8.4,"Peaceful sleep, felt refreshed in the morning.",Happy,Happy
2025-06-09,D004,7.4,"Peaceful sleep, felt refreshed in the morning.",Motivated,Happy
2025-06-10,D001,8.1,"Peaceful sleep, felt refreshed in the morning.",Energetic,Content
2025-06-10,D002,7.0,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-06-10,D003,7.3,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Motivated
2025-06-10,D004,8.1,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Motivated
2025-06-11,D001,8.4,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Motivated
2025-06-11,D002,8.1,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-06-11,D003,7.9,"Peaceful sleep, felt refreshed in the morning.",Motivated,Content
2025-06-11,D004,7.8,"Slept like a baby, dreams of open roads and smooth rides.",Content,Happy
2025-06-12,D001,7.3,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Happy
2025-06-12,D002,7.6,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Energetic
2025-06-12,D003,7.8,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Energetic
2025-06-12,D004,8.5,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Motivated
2025-06-13,D001,8.2,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-06-13,D002,7.1,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-06-13,D003,8.2,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Motivated
2025-06-13,D004,7.8,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-06-14,D001,7.7,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Happy
2025-06-14,D002,8.3,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Happy
2025-06-14,D003,8.5,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-06-14,D004,8.5,"Peaceful sleep, felt refreshed in the morning.",Energetic,Content
2025-06-15,D001,7.6,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Content
2025-06-15,D002,7.8,"Had a deep sleep, woke up with a smile.",Energetic,Content
2025-06-15,D003,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Energetic
2025-06-15,D004,8.5,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-06-16,D001,7.8,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-06-16,D002,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-06-16,D003,7.4,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
